站點,可借,可還,更新時間
YouBike2.0_央北三中央路口(全陽大璽),10,30,20220211163813
YouBike2.0_福和自強街28巷口,2,10,20220211163057
YouBike2.0_新北大道昌平街口(臨時站),4,12,20220211161816
YouBike2.0_丹鳳派出所,1,5,20220211164036
YouBike2.0_思賢國小(自由街),1,20,20220211163204
YouBike2.0_永和勵行街口,1,9,20220211164113
YouBike2.0_榮富國小,7,9,20220211162315
YouBike2.0_新莊國民運動中心(和興街),7,5,20220211163058
YouBike2.0_富貴森林公園,1,8,20220211163047
YouBike2.0_中正雙鳳路口,1,15,20220211161521
YouBike2.0_永和區公所公有新生市場,2,10,20220211161815
YouBike2.0_仁愛信義路口,4,16,20220211163213
YouBike2.0_龍安成德街口,0,12,20220211161521
YouBike2.0_民安西路252巷,3,12,20220211163414
YouBike2.0_中正路347巷口,0,13,20220211132536
YouBike2.0_大明街20巷19弄口,1,19,20220211152212
YouBike2.0_環河民樂街59巷26弄口,5,10,20220211163414
YouBike2.0_永和國中(國中路),0,15,20220211163520
YouBike2.0_中正路666巷口,0,10,20220211123404
YouBike2.0_永貞水源街口,3,9,20220211163057
YouBike2.0_保安保福路二段口,0,14,20220211160521
YouBike2.0_保福保福路二段133巷口,1,13,20220211161804
YouBike2.0_雙鳳公園,2,10,20220211163314
YouBike2.0_覺明寺(豐年街53巷),2,9,20220211163058
YouBike2.0_台灣科技總部,1,10,20220211163904
YouBike2.0_捷運新莊副都心站,9,1,20220211164214
YouBike2.0_捷運新北產業園區站,5,3,20220211163813
YouBike2.0_建中街90巷口,6,6,20220211163529
YouBike2.0_圓通綠廊,4,9,20220211163213
YouBike2.0_塭仔底濕地公園,1,14,20220211164204
YouBike2.0_新月二綠堤街口,0,21,20220211151804
YouBike2.0_國家電影及視聽文化中心,4,16,20220211164314
YouBike2.0_昌平國小,1,17,20220211163520
YouBike2.0_幸福中環路口,1,11,20220211114703
YouBike2.0_新民民族路口,16,4,20220211163613
YouBike2.0_新市三義山路口,6,14,20220211163813
YouBike2.0_水碓立體停車場,4,11,20220211162416
YouBike2.0_學成大義路口,3,5,20220211164314
YouBike2.0_新崑公園,2,28,20220211161816
YouBike2.0_新北市林口行政園區,0,14,20220211163204
YouBike2.0_林口郵局,0,5,20220211160104
YouBike2.0_俊英街219巷口,3,14,20220211163058
YouBike2.0_大安路307巷口,1,7,20220211163520
YouBike2.0_五股郵局,1,10,20220211155313
YouBike2.0_福基公園,1,6,20220211142124
YouBike2.0_宏匯廣場,2,8,20220211164214
YouBike2.0_林口國民運動中心,3,7,20220211153313
YouBike2.0_金山立體停車場(中興路),5,10,20220210141212
YouBike2.0_大同國小,8,2,20220211162527
YouBike2.0_中正淡海路口,2,13,20220211162714
YouBike2.0_新林國小,2,8,20220211163414
YouBike2.0_南勢市民活動中心,2,6,20220211162526
YouBike2.0_板南路492號,8,7,20220211164036
YouBike2.0_板新中山路一段口,7,8,20220211164113
YouBike2.0_雙十萬板路口,0,26,20220211140705
YouBike2.0_樹林區衛生所,1,6,20220211164314
YouBike2.0_億光電子(樹林高中),0,10,20220211161521
YouBike2.0_樹林大安活動中心,2,7,20220211163914
YouBike2.0_延吉街291巷口,0,8,20220211133532
YouBike2.0_華夏科技大學,2,28,20220211164036
YouBike2.0_輕軌淡金鄧公站,7,17,20220211150813
YouBike2.0_大智中山路口,6,14,20220211132115
YouBike2.0_捷運迴龍站(3號出口),6,7,20220211163613
YouBike2.0_樹林藝文綜合行政大樓,0,10,20220211163520
YouBike2.0_民生親子公園,0,6,20220211162105
YouBike2.0_三民翠華街口,3,7,20220211163813
YouBike2.0_三重棒球場,0,25,20220211151519
YouBike2.0_溪尾街196巷/仁美街口,9,9,20220211163913
YouBike2.0_六張公園,1,11,20220211160304
YouBike2.0_明德高中,0,15,20220211155904
YouBike2.0_行政院新莊聯合辦公大樓,1,11,20220211163414
YouBike2.0_中信國小,1,17,20220211160804
YouBike2.0_二橋虹橋公園,2,8,20220211151528
YouBike2.0_新莊文化藝術中心,4,8,20220211164113
YouBike2.0_南華路56巷,5,7,20220211163213
YouBike2.0_保平永和路一段口,6,9,20220211163813
YouBike2.0_清水高中,2,3,20220211163913
YouBike2.0_秀山國小,3,4,20220211163529
YouBike2.0_中山科學研究院,7,7,20220211093039
YouBike2.0_土城國中,0,14,20220211161521
YouBike2.0_頂埔國小,2,15,20220211162405
YouBike2.0_頂新祖田市民活動中心,1,13,20220211162704
YouBike2.0_青山廣場,2,5,20220211161531
YouBike2.0_自然公園,1,6,20220211161531
YouBike2.0_民視數位媒體總部,1,6,20220211164025
YouBike2.0_林口高中,0,4,20220211163405
YouBike2.0_捷運林口站(1號出口),6,7,20220211163314
YouBike2.0_新月橋,2,8,20220211164314
YouBike2.0_思賢國小,4,9,20220211163314
YouBike2.0_宏匯思源廣場,2,7,20220211125204
YouBike2.0_新北市立圖書館五股成功分館,2,4,20220211154033
YouBike2.0_林口婦幼公園,0,6,20220211162904
YouBike2.0_森林公園,4,4,20220211162527
YouBike2.0_三多國小,2,9,20220211162213
YouBike2.0_三井Outlet,0,13,20220211163520
YouBike2.0_中正仁愛街口,1,8,20220211160905
YouBike2.0_伯爵山莊第二期(康寧街),0,15,20220211145023
YouBike2.0_廣停二停車場,3,2,20220211164314
YouBike2.0_林口老街,6,11,20220211164213
YouBike2.0_福壽公園,4,4,20220211164214
YouBike2.0_捷運新莊站(2號出口),0,12,20220211164025
YouBike2.0_新泰路255巷口,0,6,20220211061512
YouBike2.0_頭前國中,0,15,20220211160905
YouBike2.0_柑園五里聯合活動中心,2,10,20220211161858
YouBike2.0_中華中原路口,3,8,20220211164314
YouBike2.0_民義公園,0,8,20220211125029
YouBike2.0_公五公園,2,8,20220211144614
YouBike2.0_四維公園,1,11,20220211162105
YouBike2.0_中和自強公園,2,4,20220211164036
YouBike2.0_鶯歌國中,2,8,20220211163529
YouBike2.0_永吉國小,3,7,20220211164036
YouBike2.0_鳳福公園,3,4,20220211153113
YouBike2.0_四維國凱街口(立天下社區),1,11,20220211141816
